usia;kelompok
37        ;Dewasa              
44        ;Dewasa              
2         ;Balita              
16        ;Remaja              
42        ;Dewasa              
65        ;Tua                 
4         ;Balita              
75        ;Tua                 
12        ;Remaja              
43        ;Dewasa              
6         ;Kanak-kanak         
2         ;Balita              
13        ;Remaja              
21        ;Pemuda              
61        ;Tua                 
63        ;Tua                 
4         ;Balita              
19        ;Pemuda              
50        ;Dewasa              
78        ;Tua                 
12        ;Remaja              
66        ;Tua                 
2         ;Balita              
64        ;Tua                 
3         ;Balita              
16        ;Remaja              
37        ;Dewasa              
68        ;Tua                 
69        ;Tua                 
6         ;Kanak-kanak         
42        ;Dewasa              
31        ;Dewasa              
63        ;Tua                 
27        ;Dewasa              
79        ;Tua                 
67        ;Tua                 
69        ;Tua                 
15        ;Remaja              
56        ;Tua                 
11        ;Kanak-kanak         
12        ;Remaja              
44        ;Dewasa              
29        ;Dewasa              
51        ;Dewasa              
61        ;Tua                 
14        ;Remaja              
46        ;Dewasa              
37        ;Dewasa              
59        ;Tua                 
78        ;Tua                 
7         ;Kanak-kanak         
32        ;Dewasa              
76        ;Tua                 
12        ;Remaja              
23        ;Pemuda              
10        ;Kanak-kanak         
1         ;Balita              
64        ;Tua                 
77        ;Tua                 
39        ;Dewasa              
78        ;Tua                 
27        ;Dewasa              
78        ;Tua                 
75        ;Tua                 
12        ;Remaja              
72        ;Tua                 
20        ;Pemuda              
13        ;Remaja              
46        ;Dewasa              
17        ;Pemuda              
43        ;Dewasa              
63        ;Tua                 
59        ;Tua                 
27        ;Dewasa              
49        ;Dewasa              
46        ;Dewasa              
79        ;Tua                 
17        ;Pemuda              
29        ;Dewasa              
53        ;Dewasa              
71        ;Tua                 
60        ;Tua                 
80        ;Tua                 
3         ;Balita              
61        ;Tua                 
75        ;Tua                 
69        ;Tua                 
38        ;Dewasa              
30        ;Dewasa              
20        ;Pemuda              
51        ;Dewasa              
10        ;Kanak-kanak         
18        ;Pemuda              
41        ;Dewasa              
52        ;Dewasa              
53        ;Dewasa              
73        ;Tua                 
1         ;Balita              
71        ;Tua                 
14        ;Remaja              
